序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
72,600726,华电能源,2026-06-04,普通席位买入，成功率48.10%,10.39,7.0031,255091439.51,644100413.31,389008973.8,1033109387.11,5751681568,4.435075838155,17.961866888769,7.5796,77779335201.632,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
73,601001,晋控煤业,2026-06-04,3家机构买入，成功率47.59%,22.69,3.702,-949419.069999993,285195261.96,286144681.03,571339942.99,1520520365,-0.062440404736,37.575290416449,4.1059,37976253000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
74,601208,东材科技,2026-06-04,买一主买，成功率48.97%,59.6,5.5054,381353996.32,2399917574.62,2018563578.3,4418481152.92,18538046541,2.057142296393,23.834664257357,10.9519,60206903402.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
75,601600,中国铝业,2026-06-04,1家机构卖出，成功率50.37%,10.9,-9.2423,-483976765.96,689858212.73,1173834978.69,1863693191.42,6006744051,-8.057223045477,31.026678939479,4.0955,143589680363.9,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
76,601869,长飞光纤,2026-06-04,上海资金买入，成功率46.88%,455.89,2.4495,655858060.91,4311954443.13,3656096382.22,7968050825.35,25986561214,2.523835514476,30.662197894261,4.6928,185245573969.46,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
77,603135,中重科技,2026-06-04,普通席位买入，成功率43.07%,12.75,10.0086,2340933.2,67220793.2,64879860.0,132100653.2,291110666,0.804138588313,45.378156360647,2.3719,8026610520.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
78,603330,天洋新材,2026-06-04,普通席位买入，成功率50.77%,9.41,10.0585,2876250.27000001,86943470.26,84067219.99,171010690.25,807779402,0.356068781016,21.170469292308,21.997,3827171494.3,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
79,603330,天洋新材,2026-06-04,普通席位买入，成功率48.55%,9.41,10.0585,-1927342.33000001,89975468.46,91902810.79,181878279.25,908982512,-0.212032938429,20.008996526217,21.997,3827171494.3,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
80,603435,嘉德利,2026-06-04,普通席位买入，成功率52.14%,84.85,9.9948,75767015.23,153394994.02,77627978.79,231022972.81,1084694628,6.985100992867,21.298434310122,39.2499,3028087938.7,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
81,603435,嘉德利,2026-06-04,普通席位买入，成功率52.14%,84.85,9.9948,75767015.23,153394994.02,77627978.79,231022972.81,1084694628,6.985100992867,21.298434310122,39.2499,3028087938.7,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
82,603459,红板科技,2026-06-04,普通席位买入，成功率47.87%,106.99,9.4863,131388389.91,289359769.86,157971379.95,447331149.81,2374416448,5.533502348363,18.839624792306,29.9566,8457758287.42,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
83,603637,镇海股份,2026-06-04,普通席位卖出，成功率47.21%,16.98,-8.7097,78300848.39,209086007.2,130785158.81,339871166.01,1172879238,6.675951440962,28.977507231652,9.4527,4052886191.46,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,,,,
84,603637,镇海股份,2026-06-04,卖一主卖，成功率40.25%,16.98,-8.7097,37984107.29,97344235.49,59360128.2,156704363.69,388525787,9.7764700725,40.333066409824,9.4527,4052886191.46,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
85,603773,沃格光电,2026-06-04,买一主买，成功率50.68%,122.4,3.013,63114094.03,544925806.63,481811712.6,1026737519.23,3959351229,1.594051408416,25.93196359317,14.8322,27498216679.2,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
86,603829,洛凯股份,2026-06-04,普通席位卖出，成功率48.00%,20.41,-8.8025,-2983814.5,40973953.5,43957768.0,84931721.5,200887399,-1.485316906313,42.278272267341,5.1912,3801692305.19,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
87,603890,春秋电子,2026-06-04,卖一主卖，成功率44.10%,29.36,-6.2879,-41914032.06,365880223.37,407794255.43,773674478.8,3771421136,-1.111359101743,20.514136472719,29.1618,13118294653.36,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
88,605018,长华集团,2026-06-04,买一主买，成功率46.83%,16.71,5.6926,-16372455.1,186873846.47,203246301.57,390120148.04,1029643082,-1.590109756111,37.88887186832,6.7483,7854799401.03,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
89,605077,华康股份,2026-06-04,卖一主卖，成功率44.33%,14.12,-9.7764,-11939321.86,35448648.48,47387970.34,82836618.82,244198046,-4.889196312406,33.92190075919,5.6164,4227945316.6,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
90,605077,华康股份,2026-06-04,卖一主卖，成功率44.11%,14.12,-9.7764,-36641981.16,117846425.0,154488406.16,272334831.16,879078204,-4.168227695019,30.979590885181,5.6164,4227945316.6,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,,,,
91,605162,新中港,2026-06-04,普通席位买入，成功率49.07%,12.71,10.0433,43393637.7,110780892.27,67387254.57,178168146.84,680438439,6.377305456725,26.184315380807,7.3546,5628576612.81,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
