序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,tag,source,涨停价,涨速,振幅
125,603806,福斯特,9.986504554748535,16.3,818559920,42522543809.700005,42522543891.200005,1.9989380836486816,69094819.0,131006,132242,1,1/1,1.0,光伏设备,涨停,akshare:stock_zt_pool_em,,,
126,000593,德龙汇能,9.995148658752441,22.67,609241376,8126813441.2300005,8130164951.360001,7.751787185668945,1357933.0,132539,143006,12,1/1,1.0,燃气Ⅱ,涨停,akshare:stock_zt_pool_em,,,
127,600549,厦门钨业,10.0,71.28,7936361728,110764271534.40001,113163117534.72,7.458422660827637,324304326.0,132653,132726,1,1/1,1.0,小金属,涨停,akshare:stock_zt_pool_em,,,
128,000960,锡业股份,10.013279914855957,41.42,5258776064,68153791451.840004,68153791451.840004,7.930248260498047,52619719.0,133030,133803,3,1/1,1.0,小金属,涨停,akshare:stock_zt_pool_em,,,
129,301217,铜冠铜箔,20.0,170.16,6675398144,141065284967.04,141065286328.32,4.98057746887207,118030292.0,133142,133142,0,1/1,1.0,电池,涨停,akshare:stock_zt_pool_em,,,
130,301373,凌玮科技,20.003019332885742,158.98,1899064416,6483696920.04,17244893027.18,31.08888053894043,28473318.0,133336,143321,7,1/1,1.0,化学制品,涨停,akshare:stock_zt_pool_em,,,
131,000657,中钨高新,10.0,86.9,9967499776,126259212219.8,198010722360.0,8.331215858459473,122192610.0,133800,140745,9,1/1,1.0,小金属,涨停,akshare:stock_zt_pool_em,,,
132,605111,新洁能,10.005036354064941,65.53,1938864048,27216743115.510002,27216742656.8,7.3410491943359375,8614835.0,134207,142052,21,1/1,1.0,半导体,涨停,akshare:stock_zt_pool_em,,,
133,001359,平安电工,9.99626636505127,117.85,653389280,5465494095.0,21861547995.25,12.405448913574219,13445860.0,134521,135954,2,2/2,2.0,塑料,涨停,akshare:stock_zt_pool_em,,,
134,002992,宝明科技,9.995251655578613,46.33,190610982,7238372275.66,8379643859.549999,2.71319317817688,62411143.0,134821,135821,4,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
135,600362,江西铜业,10.011613845825195,47.36,4273438032,98283717100.8,163994864762.88,4.448657512664795,148999296.0,135633,135633,0,1/1,1.0,工业金属,涨停,akshare:stock_zt_pool_em,,,
136,688813,泰金新能,20.001413345336914,169.85,640092416,5108574373.599999,27176000000.0,13.15591049194336,30806204.0,135708,135708,0,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
137,603499,翔港科技,10.027700424194336,19.86,158205151,6009524585.4,6009524466.24,2.7109322547912598,50853516.0,140613,140613,0,1/1,1.0,包装印刷,涨停,akshare:stock_zt_pool_em,,,
138,605289,罗曼股份,10.00185489654541,118.56,691319360,17982291600.0,18093500880.0,3.9623913764953613,4204374.0,141613,144428,5,1/1,1.0,专业工程,涨停,akshare:stock_zt_pool_em,,,
